iter	Passed	Remaining
0	5	5976
1	9	4972
2	13	4503
3	17	4428
4	21	4284
5	25	4164
6	28	4082
7	32	4030
8	36	3968
9	39	3937
10	43	3933
11	47	3930
12	51	3904
13	55	3881
14	58	3848
15	63	3896
16	67	3880
17	70	3864
18	74	3849
19	78	3839
20	83	3875
21	86	3866
22	90	3842
23	93	3822
24	97	3803
25	101	3810
26	105	3796
27	109	3794
28	116	3912
29	120	3895
30	124	3887
31	128	3872
32	131	3855
33	135	3840
34	138	3826
35	142	3815
36	146	3818
37	150	3807
38	154	3794
39	157	3780
40	161	3771
41	165	3764
42	168	3752
43	172	3742
44	175	3735
45	179	3724
46	183	3714
47	186	3701
48	190	3698
49	194	3686
50	197	3683
51	202	3685
52	206	3683
53	211	3699
54	217	3732
55	222	3742
56	225	3734
57	229	3724
58	233	3723
59	236	3712
60	240	3708
61	244	3701
62	248	3699
63	252	3693
64	256	3686
65	259	3678
66	263	3670
67	267	3660
68	270	3652
69	274	3651
70	278	3644
71	282	3638
72	285	3630
73	289	3626
74	295	3643
75	298	3634
76	302	3625
77	306	3620
78	309	3612
79	313	3607
80	317	3607
81	321	3602
82	325	3600
83	329	3596
84	333	3589
85	337	3588
86	341	3583
87	345	3576
88	348	3570
89	352	3566
90	356	3560
91	360	3555
92	363	3549
93	367	3543
94	372	3544
95	375	3537
96	379	3532
97	383	3525
98	386	3519
99	390	3515
100	394	3512
101	398	3505
102	402	3504
103	406	3500
104	409	3492
105	413	3489
106	417	3484
107	421	3479
108	424	3472
109	428	3466
110	432	3463
111	436	3459
112	440	3453
113	443	3447
114	447	3442
115	450	3436
116	454	3433
117	458	3427
118	462	3422
119	466	3421
120	470	3416
121	474	3411
122	477	3405
123	481	3398
124	484	3392
125	493	3422
126	497	3420
127	501	3415
128	505	3411
129	508	3405
130	512	3402
131	516	3396
132	520	3390
133	530	3426
134	534	3423
135	537	3416
136	541	3409
137	544	3403
138	548	3397
139	552	3391
140	557	3397
141	561	3393
142	565	3391
143	569	3386
144	573	3380
145	577	3375
146	580	3369
147	585	3369
148	588	3363
149	592	3358
150	596	3355
151	600	3349
152	604	3344
153	607	3338
154	611	3335
155	615	3329
156	619	3325
157	622	3319
158	629	3328
159	633	3323
160	636	3317
161	640	3311
162	643	3306
163	647	3300
164	651	3294
165	654	3289
166	659	3287
167	662	3281
168	666	3276
169	674	3294
170	681	3303
171	685	3298
172	688	3291
173	692	3289
174	696	3283
175	704	3296
176	708	3294
177	712	3289
178	716	3284
179	719	3278
180	724	3276
181	727	3270
182	731	3264
183	734	3258
184	738	3252
185	742	3249
186	746	3243
187	749	3237
188	753	3233
189	757	3229
190	761	3225
191	765	3221
192	768	3215
193	772	3209
194	776	3207
195	782	3208
196	786	3204
197	789	3198
198	793	3194
199	797	3189
200	800	3183
201	804	3178
202	808	3175
203	812	3170
204	816	3164
205	820	3164
206	827	3170
207	833	3175
208	839	3176
209	848	3190
210	861	3221
211	865	3217
212	869	3212
213	874	3210
214	877	3204
215	881	3199
216	885	3194
217	888	3188
218	892	3182
219	895	3176
220	899	3171
221	903	3165
222	906	3160
223	910	3154
224	914	3149
225	917	3143
226	922	3140
227	926	3135
228	930	3133
229	937	3139
230	943	3141
231	950	3146
232	957	3151
233	964	3155
234	971	3162
235	978	3166
236	984	3169
237	991	3175
238	999	3181
239	1008	3192
240	1016	3200
241	1022	3203
242	1029	3207
243	1035	3209
244	1043	3214
245	1048	3214
246	1054	3213
247	1057	3207
248	1061	3201
249	1065	3196
250	1069	3192
251	1073	3186
252	1077	3180
253	1080	3174
254	1084	3169
255	1088	3163
256	1092	3157
257	1095	3151
258	1099	3146
259	1104	3143
260	1107	3137
261	1112	3132
262	1115	3126
263	1119	3121
264	1123	3114
265	1126	3108
266	1130	3102
267	1133	3096
268	1137	3090
269	1141	3085
270	1144	3079
271	1148	3073
272	1152	3068
273	1156	3063
274	1159	3057
275	1164	3054
276	1168	3049
277	1172	3043
278	1175	3038
279	1179	3032
280	1182	3026
281	1188	3026
282	1194	3026
283	1198	3022
284	1202	3016
285	1205	3010
286	1209	3005
287	1213	2999
288	1216	2993
289	1220	2989
290	1224	2983
291	1228	2977
292	1231	2971
293	1235	2967
294	1239	2961
295	1242	2956
296	1246	2950
297	1250	2945
298	1253	2939
299	1258	2937
300	1262	2931
301	1266	2928
302	1270	2923
303	1274	2918
304	1278	2912
305	1281	2907
306	1285	2901
307	1288	2896
308	1292	2890
309	1299	2891
310	1303	2886
311	1306	2881
312	1310	2876
313	1314	2871
314	1318	2866
315	1322	2861
316	1325	2856
317	1329	2851
318	1333	2846
319	1337	2841
320	1340	2836
321	1344	2830
322	1348	2825
323	1351	2820
324	1356	2817
325	1360	2811
326	1363	2806
327	1367	2801
328	1370	2795
329	1374	2790
330	1377	2785
331	1382	2781
332	1385	2776
333	1389	2771
334	1393	2766
335	1397	2761
336	1401	2756
337	1404	2751
338	1408	2746
339	1412	2740
340	1415	2735
341	1419	2730
342	1422	2725
343	1426	2720
344	1430	2715
345	1433	2710
346	1437	2705
347	1441	2700
348	1444	2695
349	1448	2690
350	1453	2687
351	1456	2682
352	1460	2676
353	1464	2671
354	1467	2666
355	1471	2661
356	1474	2656
357	1478	2652
358	1482	2647
359	1486	2642
360	1489	2637
361	1493	2632
362	1497	2627
363	1500	2622
364	1504	2617
365	1508	2612
366	1512	2608
367	1516	2603
368	1519	2599
369	1523	2594
370	1526	2588
371	1530	2584
372	1534	2579
373	1538	2574
374	1541	2569
375	1546	2566
376	1550	2562
377	1554	2557
378	1557	2552
379	1561	2547
380	1565	2543
381	1568	2538
382	1572	2533
383	1576	2528
384	1580	2524
385	1583	2519
386	1587	2514
387	1590	2509
388	1594	2504
389	1598	2499
390	1602	2495
391	1605	2490
392	1609	2485
393	1612	2480
394	1616	2475
395	1620	2471
396	1623	2466
397	1627	2461
398	1631	2456
399	1634	2452
400	1638	2447
401	1643	2444
402	1646	2439
403	1650	2434
404	1654	2430
405	1657	2425
406	1661	2421
407	1665	2416
408	1669	2413
409	1676	2412
410	1680	2408
411	1685	2404
412	1688	2400
413	1692	2395
414	1696	2391
415	1699	2386
416	1703	2381
417	1707	2377
418	1710	2372
419	1714	2367
420	1718	2362
421	1745	2391
422	1749	2386
423	1753	2381
424	1756	2377
425	1760	2372
426	1764	2367
427	1768	2363
428	1773	2360
429	1777	2355
430	1780	2350
431	1784	2346
432	1787	2341
433	1791	2336
434	1795	2331
435	1798	2326
436	1802	2321
437	1805	2317
438	1809	2312
